available_cities,available_days,available_time_slots,base_price,breed_specific,category,city_pricing,created_at,created_by,deposit_percentage,description,duration,duration_minutes,excludes,features,fulfillment,id,image,image_url,includes,is_24x7,is_active,is_bookable,is_free,is_synced_from_product,mira_whispers,name,payment_timing,pet_count_pricing,pet_size_pricing,pet_sizes,pet_types,pillar,price,provider_id,provider_name,requires_consultation,service_type,source_product_id,status,sync_timestamp,tags,updated_at
,,,699.0,,cakes,,2026-02-27T16:08:35.485929+00:00,,,"Celebrate your pup’s special day with the timeless charm of our Paw Prints Celebration Cake ! Decorated with adorable bone and paw prints, this cake is topped with your personalized message to make their day uniquely theirs. Lovingly baked fresh with pet-friendly ingredients, it’s a wholesome and he",,,,,,svc-shopify-8407385669786,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/144.png?v=1735889141,,,,,,True,,Paw Prints Celebration Cake!,,,,,,shop,699.0,,,,product,shopify-8407385669786,active,2026-02-27T16:08:48.170386+00:00,"['Birthdays', 'cake', 'Cakes', 'Cakes1', 'Circle']",2026-02-27T16:08:48.170388+00:00
,,,199.0,,treats,,2026-02-27T16:08:35.486308+00:00,,,Delicious treats made with love for your furry friend.,,,,,,svc-shopify-8397605994650,,,,,,,,True,,Christmas Cookies (200g),,,,,,shop,199.0,,,,product,shopify-8397605994650,active,2026-02-27T16:08:48.170782+00:00,[],2026-02-27T16:08:48.170785+00:00
,,,450.0,,dognuts,,2026-02-27T16:08:35.486667+00:00,,,"This Christmas, let your furry friend indulge in the festive spirit with our Christmas Dog-nuts ! 🎅🐾 Available in sets of 4 or 6 , these dog-friendly donuts are: 🎄 Baked fresh to order, ensuring the ultimate flavor and quality. 🎄 Topped with natural colors from fruits and veggies like beetroot &amp;",,,,,,svc-shopify-8390454542490,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_18.png?v=1732617250,,,,,,True,,Christmas Dognuts,,,,,,shop,450.0,,,,product,shopify-8390454542490,active,2026-02-27T16:08:48.171145+00:00,"['Christmas', 'dognuts']",2026-02-27T16:08:48.171148+00:00
,,,499.0,,mini-cakes,,2026-02-27T16:08:35.487045+00:00,,,"Make your pup’s Christmas extra special with our Santa Paws Mini Cake Set ! 🎄✨ Each set includes 4 freshly baked mini cakes , available in Banana or Chicken &amp; Oat flavors , crafted to perfection with: 🎅 Natural Colors from fruits and veggies like beetroot &amp; spinach. 🎅 A wholesome topping of ",,,,,,svc-shopify-8390454116506,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_17.png?v=1732617250,,,,,,True,,Santa Paws Mini Cake Set,,,,,,shop,499.0,,,,product,shopify-8390454116506,active,2026-02-27T16:08:48.171533+00:00,"['Christmas', 'Pupcakes', 'Treats']",2026-02-27T16:08:48.171535+00:00
,,,449.0,,treats,,2026-02-27T16:08:35.487424+00:00,,,"Now available in sets of 4 or 6 , Merry O’s are freshly baked festive pupcakes made with your choice of a Banana or Chicken &amp; Oat base. Each Merry O is topped with our homemade cream cheese frosting and decorated using: 🎅 Natural colors from fruits &amp; veggies like beetroot and spinach 🎅 Whole",,,,,,svc-shopify-7587155509402,,https://cdn.shopify.com/s/files/1/0417/2844/2522/products/FDEB58AD-711B-4A3D-A297-020963F3B80A.png?v=1669963029,,,,,,True,,Merry O!,,,,,,shop,449.0,,,,product,shopify-7587155509402,active,2026-02-27T16:08:48.171932+00:00,"['Christmas', 'Pupcakes', 'Treats']",2026-02-27T16:08:48.171934+00:00
,,,950.0,,breed-cakes,,2026-02-27T16:08:35.487798+00:00,,,"Say hello to our Pawfect Poodle cake 🐾🎂—specially crafted for your little furry friends! Made with our signature yoghurt topping and wholesome rolled oats for those cute details, this treat is as healthy as it is adorable. Perfect for small dogs with big cravings! 🐶💕 Order now and make your pup’s da",,,,,,svc-shopify-8387964764314,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_13.png?v=1731914100,,,,,,True,,Peanut Butter Poodle,,,,,,shop,950.0,,,,product,shopify-8387964764314,active,2026-02-27T16:08:48.172303+00:00,"['Birthdays', 'breed', 'Cakes']",2026-02-27T16:08:48.172305+00:00
,,,650.0,,breed-cakes,,2026-02-27T16:08:35.488178+00:00,,,"Say hello to our Pawfect Poodle cake 🐾🎂—specially crafted for your little furry friends! Made with our signature yoghurt topping and wholesome rolled oats for those cute details, this treat is as healthy as it is adorable. Perfect for small dogs with big cravings! 🐶💕 Order now and make your pup’s da",,,,,,svc-shopify-8387964666010,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_11.png?v=1731914014,,,,,,True,,Mutt Munch,,,,,,shop,650.0,,,,product,shopify-8387964666010,active,2026-02-27T16:08:48.172670+00:00,"['Birthdays', 'breed', 'Cakes']",2026-02-27T16:08:48.172672+00:00
,,,499.0,,mini-cakes,,2026-02-27T16:08:35.488607+00:00,,,"Say hello to our Pawfect Poodle 🐾🎂—specially crafted for your little furry friends! Made with our signature yoghurt topping and wholesome rolled oats for those cute details, this treat is as healthy as it is adorable. Perfect for small dogs with big cravings! 🐶💕 Order now and make your pup’s day ext",,,,,,svc-shopify-8387963125914,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_19.png?v=1734594320,,,,,,True,,Mini Mutt Munch,,,,,,shop,499.0,,,,product,shopify-8387963125914,active,2026-02-27T16:08:48.173082+00:00,['bowto'],2026-02-27T16:08:48.173084+00:00
,,,600.0,,cakes,,2026-02-27T16:08:35.488989+00:00,,,"Let your dog join in the Diwali fun with this beautifully decorated Diya-themed cake, made with dog-friendly ingredients. A sweet treat for your furry friend to enjoy the festival!",,,,,,svc-shopify-8376862965914,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/IMG_7843.jpg?v=1729504729,,,,,,True,,Furry Festive Diya Cake,,,,,,shop,600.0,,,,product,shopify-8376862965914,active,2026-02-27T16:08:48.173464+00:00,[],2026-02-27T16:08:48.173466+00:00
,,,299.0,,desi-treats,,2026-02-27T16:08:35.489497+00:00,,,"(Set of 6) Experience the best of both worlds this Diwali – a savory and sweet treat in one box. This festive combo brings together savory and sweet with crisp cheese crackers and rich, decadent Besan Ladoos, making it a delightful addition to any Diwali spread.",,,,,,svc-shopify-8376859984026,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design_-_2025-09-24T122655.551.png?v=1758697044,,,,,,True,,Cracker Cookie & Ladoo Combo,,,,,,shop,299.0,,,,product,shopify-8376859984026,active,2026-02-27T16:08:48.173856+00:00,[],2026-02-27T16:08:48.173858+00:00
,,,299.0,,hampers,,2026-02-27T16:08:35.489875+00:00,,,"(Set of 4) Delight in a festive assortment of rich, golden Besan Ladoos paired with wholesome Ragi Ladoos. This perfect combination brings together tradition and health in every bite. Ideal for gifting or indulging during Diwali celebrations.",,,,,,svc-shopify-8376859885722,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/IMG_7837.heic?v=1729503177,,,,,,True,,Mini Ladoo Box,,,,,,shop,299.0,,,,product,shopify-8376859885722,active,2026-02-27T16:08:48.174232+00:00,[],2026-02-27T16:08:48.174234+00:00
,,,600.0,,cakes,,2026-02-27T16:08:35.490269+00:00,,,"Make your dog's birthday extraordinary with our ""Pawsonalized Bone Bash"" cake. This bone-shaped treat is the perfect canvas for your heartfelt message, topped with nutritious yogurt and peanut butter paw designs.",,,,,,svc-shopify-8367927099546,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_8.png?v=1727779266,,,,,,True,,Pawsonalized Bone Bash,,,,,,shop,600.0,,,,product,shopify-8367927099546,active,2026-02-27T16:08:48.174617+00:00,"['Birthdays', 'Bone', 'Cakes', 'Treats']",2026-02-27T16:08:48.174618+00:00
,,,799.0,,cakes,,2026-02-27T16:08:35.490659+00:00,,,"Treat your fluffy companion to our Paw-nut Butter Delight dessert, crowned with a scrumptious mix of puppy-friendly peanut butter and yogurt. This charming masterpiece showcases darling paw prints, creating a scrumptious delight for any special moment. Whether for commemorating milestones or simply ",,,,,,svc-shopify-8367925461146,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_7_9a2dc9c0-334c-4fbf-996d-58535700d3c6.png?v=1727778895,,,,,,True,,Peanut Pup Prints,,,,,,shop,799.0,,,,product,shopify-8367925461146,active,2026-02-27T16:08:48.175009+00:00,"['Birthdays', 'Bone', 'Cakes']",2026-02-27T16:08:48.175010+00:00
,,,349.0,,dognuts,,2026-02-27T16:08:35.491082+00:00,,,"This Independence Day, let your canine companion join in the festivities with our Tri-Color Doggnuts! These adorable and delicious treats come in the iconic hues of the Indian flag, making them a delightful way to commemorate the occasion. Crafted with care and packed with natural goodness, these do",,,,,,svc-shopify-7886942437530,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/IMG-4972.jpg?v=1691775198,,,,,,True,,Pack of 3 Tricolor Dognut Delights,,,,,,shop,349.0,,,,product,shopify-7886942437530,active,2026-02-27T16:08:48.175378+00:00,['independence'],2026-02-27T16:08:48.175380+00:00
,,,570.0,,desi-treats,,2026-02-27T16:08:35.491447+00:00,,,"This Independence Day, let your canine companion join in the festivities with our Tri-Color Doggnuts! These adorable and delicious treats come in the iconic hues of the Indian flag, making them a delightful way to commemorate the occasion. Crafted with care and packed with natural goodness, these do",,,,,,svc-shopify-7886943289498,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/IMG-4974.jpg?v=1691775483,,,,,,True,,Tricolor Treats Combo,,,,,,shop,570.0,,,,product,shopify-7886943289498,active,2026-02-27T16:08:48.175786+00:00,['independence'],2026-02-27T16:08:48.175787+00:00
,,,950.0,,hampers,,2026-02-27T16:08:35.491829+00:00,,,"Celebrate your furry friend's special day with the ultimate cake-making experience! The Barkday Bash Box includes everything you need to create a personalized, delicious, and healthy cake for your dog, available in both vegetarian and chicken flavor variants. What's Inside: Biscuit Treats : Delightf",,,,,,svc-shopify-8288687816858,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design_3_61b9bfc2-3da3-4731-99ec-3d754decee80.png?v=1719826355,,,,,,True,,Barkday Bash Box,,,,,,shop,950.0,,,,product,shopify-8288687816858,active,2026-02-27T16:08:48.176167+00:00,['Gift Box'],2026-02-27T16:08:48.176169+00:00
,,,1250.0,,hampers,,2026-02-27T16:08:35.492205+00:00,,,"Treat your furry friend to the ultimate indulgence with our Pawsome Treat Box! This delightful gift set is packed with a selection of our finest, healthiest, and most delicious products, guaranteed to make tails wag with joy. What's Inside: Biscuit Treats : Baked to perfection using fresh, wholesome",,,,,,svc-shopify-8288672612506,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/6.png?v=1719387610,,,,,,True,,Furry Friend Festive Box,,,,,,shop,1250.0,,,,product,shopify-8288672612506,active,2026-02-27T16:08:48.176542+00:00,['Gift Box'],2026-02-27T16:08:48.176544+00:00
,,,0.0,,nut-butters,,2026-02-27T16:08:35.492596+00:00,,,Delicious nut butters made with love for your furry friend.,,,,,,svc-shopify-8280233410714,,,,,,,,True,,Peanut Butter video,,,,,,shop,0.0,,,,product,shopify-8280233410714,active,2026-02-27T16:08:48.176919+00:00,[],2026-02-27T16:08:48.176922+00:00
,,,1650.0,,hampers,,2026-02-27T16:08:35.492971+00:00,,,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a feeding mat to match this is everything that you and your little baby will need for the perfect family celebration Cake Party Box : Custom Cake (Choose) Party Hats Candle Balloons Birthday Banner Special Birthday Assorted Bis",,,,,,svc-shopify-6743041867930,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design_17.png?v=1723638766,,,,,,True,,Breed Cake Hamper w/ Feeding Mat,,,,,,shop,1650.0,,,,product,shopify-6743041867930,active,2026-02-27T16:08:48.177303+00:00,"['Combos', 'Feeding Mat Combo', 'Party Box', 'party box2', 'PBcustom', 'Treats']",2026-02-27T16:08:48.177304+00:00
,,,1000.0,,treats,,2026-02-27T16:08:35.493364+00:00,,,A treat jar with a cute dog on it for your pup's snacks and pair it with a box of mouthwatering cookies. Perfect for keeping treats fresh and indulging your dog with homemade delights! Delivery in 3-4 working days,,,,,,svc-shopify-7887462367386,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/RedBlackSimpleCreativeXLetterBusinessBrandLogo_24.png?v=1699187617,,,,,,True,,Treat Jar & Cookie Combo,,,,,,shop,1000.0,,,,product,shopify-7887462367386,active,2026-02-27T16:08:48.177671+00:00,['Gift Box'],2026-02-27T16:08:48.177673+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.493741+00:00,,,"A mythical unicorn cake with a white base, highlighted by a spectrum mane and a shimmering golden horn, enchanting and emblematic of magical diversity. Each cake of 500 grams is finished with a choice of creamy yogurt or rich peanut butter frosting, making every bite a celebration of love and flavor",,,,,,svc-shopify-8160913981594,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDB_cakes_1.jpg?v=1717650990,,,,,,True,,Unicorn Unity Cake,,,,,,shop,699.0,,,,product,shopify-8160913981594,active,2026-02-27T16:08:48.178062+00:00,"['Birthdays', 'Cakes', 'Circle', 'Circle cakes', 'Pride']",2026-02-27T16:08:48.178064+00:00
,,,600.0,,cakes,,2026-02-27T16:08:35.494130+00:00,,,"Unleash the fun with our Gotta Catch Em All Pokeball themed dog cake! Perfect for your furry friend's special occasions, this cake will have them barking with joy. A playful and unique treat for your pup, because they deserve the best of the good times!",,,,,,svc-shopify-8252689252506,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_2_f75f9a39-10c8-476d-a25c-70821c8e2bac.png?v=1717138060,,,,,,True,,Gotta Catch Em' All,,,,,,shop,600.0,,,,product,shopify-8252689252506,active,2026-02-27T16:08:48.178477+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.178478+00:00
,,,1700.0,,cakes,,2026-02-27T16:08:35.494499+00:00,,,"Maya's favorite toy is now a dog-friendly cake! Indulge your furry friend with this playful treat, made from all-natural ingredients for a guilt-free indulgence. Perfect for birthday celebrations or just because! Woof woof, let's paw-ty!",,,,,,svc-shopify-8252711075994,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_1.png?v=1717138876,,,,,,True,,Maya's Toy,,,,,,shop,1700.0,,,,product,shopify-8252711075994,active,2026-02-27T16:08:48.179033+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.179040+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.494909+00:00,,,Get ready for a dog-friendly treat with Sunflower Season! Our unique dog cake features sunflower toppings made with haldi for a delicious and pet-safe indulgence. Perfect for any celebration or just to brighten up your pup's day.,,,,,,svc-shopify-8252710027418,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_3.jpg?v=1717138822,,,,,,True,,Sunflower Season,,,,,,shop,699.0,,,,product,shopify-8252710027418,active,2026-02-27T16:08:48.179550+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.179554+00:00
,,,1700.0,,cakes,,2026-02-27T16:08:35.495293+00:00,,,"Indulge your furry friend's need for speed with our Car Cake! Made with creamy yogurt and irresistible peanut butter, this dog-friendly treat is shaped like a car and sure to get tails wagging. (Sorry, no driver's license included.)",,,,,,svc-shopify-8252706029722,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_4_09179a35-4f76-474a-b31a-7febb828b917.png?v=1717138774,,,,,,True,,Wroom Wroom!,,,,,,shop,1700.0,,,,product,shopify-8252706029722,active,2026-02-27T16:08:48.180032+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.180034+00:00
,,,800.0,,cakes,,2026-02-27T16:08:35.495673+00:00,,,"Introducing Teddy, the sweetest treat for your furry friend! This scrumptious dog cake features a peanut butter teddy bear face that will make any pup's tail wag with joy. Give your canine companion a tasty and adorable surprise with Teddy. (No, we didn't say ""bear""-y!)",,,,,,svc-shopify-8252687909018,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes.jpg?v=1717137985,,,,,,True,,Teddy,,,,,,shop,800.0,,,,product,shopify-8252687909018,active,2026-02-27T16:08:48.180480+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.180482+00:00
,,,600.0,,cakes,,2026-02-27T16:08:35.496073+00:00,,,"Indulge in a little slice of sunshine and happiness with our Sunshine &amp; Rainbows cake. Inspired by our customer, Sparkle, this delightful treat will brighten up your day with a burst of color and flavor. Perfect for any special occasion or just to add a little bit of joy to your day. Taste the r",,,,,,svc-shopify-8252671951002,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_2.jpg?v=1717137942,,,,,,True,,Sunshine & Rainbows,,,,,,shop,600.0,,,,product,shopify-8252671951002,active,2026-02-27T16:08:48.180908+00:00,"['Birthdays', 'cake', 'Cakes', 'Circle', 'Custom message', 'New Cake']",2026-02-27T16:08:48.180910+00:00
,,,499.0,,cakes,,2026-02-27T16:08:35.496459+00:00,,,"Here's a pan-India cake, available for nationwide delivery! Choose from 4 of our most popular cake designs! At The Doggy Bakery, we take special care to ensure that our pan India cakes, including the meat and yogurt toppings, remain fresh during shipping. Our packaging is designed to maintain optima",,,,,,svc-shopify-8205745127578,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design_41.png?v=1741098689,,,,,,True,,Pan India Cake,,,,,,shop,499.0,,,,product,shopify-8205745127578,active,2026-02-27T16:08:48.181306+00:00,['Pan India'],2026-02-27T16:08:48.181308+00:00
,,,1200.0,,hampers,,2026-02-27T16:08:35.496859+00:00,,,"Treat the special dog moms in your life with our ""Dog Mom Pawsentials Box""! This thoughtful gift set includes a ""Best Mother"" coffee mug to start her day right, a sniffer toy for delightful playtime sessions with her furry friend, and her choice of our delicious treats for her beloved dog. Our treat",,,,,,svc-shopify-8200986624154,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/Untitled_design.png?v=1718347134,,,,,,True,,Dog Mom Woof Box,,,,,,shop,1200.0,,,,product,shopify-8200986624154,active,2026-02-27T16:08:48.181703+00:00,['Gift Box'],2026-02-27T16:08:48.181705+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.497265+00:00,,,"With soft swirls of pastel icing and a delicate floral garnish, the ""Mom's Marvel Cake"" embodies the grace and beauty of motherhood. This round cake offers a taste of elegance, perfect for celebrating the wonderful moms who make life sweeter. Each cake of 500 grams is finished with a choice of cream",,,,,,svc-shopify-8198158712986,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_12.png?v=1714292141,,,,,,True,,Moms Marvel Cake,,,,,,shop,699.0,,,,product,shopify-8198158712986,active,2026-02-27T16:08:48.182106+00:00,"['Birthdays', 'Bone', 'Cakes', 'Pride']",2026-02-27T16:08:48.182108+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.497667+00:00,,,"Shaped like a classic dog bone, this cake boasts a cascade of Pride colors on top with a clean white icing base, offering a tasteful nod to inclusivity. Each cake of 500 grams is finished with a choice of creamy yogurt or rich peanut butter frosting, making every bite a celebration of love and flavo",,,,,,svc-shopify-8160896057498,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_5.png?v=1713499783,,,,,,True,,Prideful Pooch,,,,,,shop,699.0,,,,product,shopify-8160896057498,active,2026-02-27T16:08:48.182497+00:00,"['Birthdays', 'Bone', 'Cakes', 'Pride']",2026-02-27T16:08:48.182499+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.498098+00:00,,,"This bone-shaped treat symbolizes the sweet and loving kisses moms receive from their furry friends, making it a delightful indulgence for Mother’s Day. Each cake of 500 grams is finished with a choice of creamy yogurt or rich peanut butter frosting, making every bite a celebration of love and flavo",,,,,,svc-shopify-8198119719066,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_10_1cbb3ba2-d91d-4924-b525-315f3cd21104.png?v=1714291942,,,,,,True,,Canine Kisses Cake,,,,,,shop,699.0,,,,product,shopify-8198119719066,active,2026-02-27T16:08:48.182899+00:00,"['Birthdays', 'Bone', 'Cakes', 'Pride']",2026-02-27T16:08:48.182901+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.498484+00:00,,,"The ""Square Snuggles Cake"" stands out with its geometric precision and a burst of colorful confetti-like toppings, symbolizing the vibrant and multifaceted nature of motherhood. It’s a playful yet delicious tribute to the moms who bring color into our lives. Each cake of 500 grams is finished with a",,,,,,svc-shopify-8198230081690,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_13.png?v=1714292347,,,,,,True,,Square Snuggles,,,,,,shop,699.0,,,,product,shopify-8198230081690,active,2026-02-27T16:08:48.183293+00:00,"['Birthdays', 'Bone', 'Cakes', 'Pride']",2026-02-27T16:08:48.183295+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.498911+00:00,,,"This round cake wraps comfort and love into every layer, featuring a rich, creamy filling and a top decorated with hearts. The ""Hug-in-a-Cake"" is like receiving a warm embrace from Mom, making it a heartfelt treat for this special day. Each cake of 500 grams is finished with a choice of creamy yogur",,,,,,svc-shopify-8198293749914,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_14.png?v=1714292417,,,,,,True,,Hug-in-a-Cake,,,,,,shop,699.0,,,,product,shopify-8198293749914,active,2026-02-27T16:08:48.183686+00:00,"['Birthdays', 'Bone', 'Cakes', 'Pride']",2026-02-27T16:08:48.183688+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.499297+00:00,,,"A cheerful round cake adorned with soft rainbow swirls atop pristine white icing, symbolizing unity and joy. It's a delightful celebration of love in every slice. Each cake of 500 grams is finished with a choice of creamy yogurt or rich peanut butter frosting, making every bite a celebration of love",,,,,,svc-shopify-8160909230234,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_3.png?v=1713486974,,,,,,True,,Rainbow Roundabout,,,,,,shop,699.0,,,,product,shopify-8160909230234,active,2026-02-27T16:08:48.184084+00:00,"['Birthdays', 'Cakes', 'Circle', 'Circle cakes', 'Pride']",2026-02-27T16:08:48.184086+00:00
,,,849.0,,cakes,,2026-02-27T16:08:35.499684+00:00,,,"Celebrate with a blast from the past with our Pacman-inspired cake! Each bite offers a delicious flavor adventure, just like the thrilling chases in the classic arcade game.",,,,,,svc-shopify-8144758407322,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes_4.jpg?v=1717147521,,,,,,True,,Pacman,,,,,,shop,849.0,,,,product,shopify-8144758407322,active,2026-02-27T16:08:48.184470+00:00,"['Birthdays', 'cake', 'Cakes', 'Cakes1', 'Circle', 'Circle cakes', 'june cakes', 'New Cake']",2026-02-27T16:08:48.184472+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.500078+00:00,,,"Celebrate the splendor of sunny days with our 'Here Comes the Sun' Cake, designed to elevate your dog's summer festivities. This delightful creation captures the essence of summer with its vibrant and joyous design, shaped like a rising sun. Made from canine-safe ingredients and infused with seasona",,,,,,svc-shopify-8142937391258,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/image-removebg-preview-2024-04-14T085844.643.png?v=1713065351,,,,,,True,,Here Comes The Sun,,,,,,shop,649.0,,,,product,shopify-8142937391258,active,2026-02-27T16:08:48.184861+00:00,"['Circle', 'summer']",2026-02-27T16:08:48.184863+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.500499+00:00,,,"Dressed in a party-perfect polka-dot bandana and surrounded by a necklace of colorful treats, the ""Carnival Canine Cake"" is a playful homage to the joy our pets provide. It's a delectable centerpiece that will have everyone barking with delight!",,,,,,svc-shopify-8130021982362,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/135.png?v=1714661037,,,,,,True,,Carnival Canine,,,,,,shop,649.0,,,,product,shopify-8130021982362,active,2026-02-27T16:08:48.185341+00:00,"['cake', 'Cake May', 'Cakes', 'Cakes1', 'Circle', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.185343+00:00
,,,699.0,,cakes,,2026-02-27T16:08:35.500888+00:00,,,"Celebrating the cheer that pets bring into our lives, the ""Buddy Cake"" is the epitome of edible joy. Adorned with a charming fondant pup's face and a cascade of bone-shaped treats, this cake is a heartfelt ode to pet pals. It's sure to get tails wagging!",,,,,,svc-shopify-8130020475034,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/TDBcakes.png?v=1741098689,,,,,,True,,Buddy Peanut Butter Cake,,,,,,shop,699.0,,,,product,shopify-8130020475034,active,2026-02-27T16:08:48.185748+00:00,"['cake', 'Cake May', 'Cakes', 'Cakes1', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.185750+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.501279+00:00,,,"The ""Floral Fido Cake"" is a celebration of spring's bloom and our dogs' unwavering affection. Adorned with vibrant flowers, made from rolled oats and a cheerful, edible collar, this cake captures the essence of joy in every slice, perfect for brightening up festivities.",,,,,,svc-shopify-8130021884058,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/137.png?v=1714661088,,,,,,True,,Floral Fido,,,,,,shop,649.0,,,,product,shopify-8130021884058,active,2026-02-27T16:08:48.186135+00:00,"['cake', 'Cake May', 'Cakes', 'Cakes1', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.186137+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.501667+00:00,,,"The ""Puppy Love Squares"" cake is a square of sweetness, featuring heart-shaped fondant ears and blushing cheeks to charm any dog lover. It's a simple yet affectionate treat to share embodying the love we feel for our canine companions.",,,,,,svc-shopify-8130022113434,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/141.jpg?v=1714661424,,,,,,True,,Puppy Love Squares,,,,,,shop,649.0,,,,product,shopify-8130022113434,active,2026-02-27T16:08:48.186541+00:00,"['Birthdays', 'cake', 'Cake May', 'Cakes', 'Cakes1', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.186543+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.502082+00:00,,,"The ""Biscuit Buddy Cake"" combines a classic dog bone shape with a joyful pooch expression, making it a delightful centerpiece for celebrations and a tasty tribute to our playful pals.",,,,,,svc-shopify-8130022604954,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/145.png?v=1735538055,,,,,,True,,Biscuit Buddy,,,,,,shop,649.0,,,,product,shopify-8130022604954,active,2026-02-27T16:08:48.186953+00:00,"['cake', 'Cake May', 'Cakes', 'Cakes1', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.186955+00:00
,,,649.0,,cakes,,2026-02-27T16:08:35.502460+00:00,,,"With a beaming face that lights up any room, the ""Pooch's Smiles Cake"" is a testament to the happiness our dogs bring us. This cake's creamy white frosting and gentle fondant accents are designed to mimic your loyal companion's loving gaze, making it the perfect treat for National Pet Month celebrat",,,,,,svc-shopify-8130021556378,,https://cdn.shopify.com/s/files/1/0417/2844/2522/files/140.jpg?v=1741098689,,,,,,True,,Pooch's Smiles,,,,,,shop,649.0,,,,product,shopify-8130021556378,active,2026-02-27T16:08:48.187343+00:00,"['cake', 'Cake May', 'Cakes', 'Cakes1', 'Easter', 'New Cake', 'Pet Month']",2026-02-27T16:08:48.187345+00:00
