id,name,base_price,category,type,description,pillar_shop,pillar_celebrate,pillar_dine,pillar_stay,pillar_travel,pillar_care,pillar_enjoy,pillar_fit,pillar_learn,pillar_paperwork,pillar_advisory,pillar_emergency,pillar_farewell,pillar_adopt
svc-seed-stay-b06d0e4e,Home Boarding Service,1299,boarding,,Stay with a certified pet host,,,,Y,,,,,,,,,,
svc-seed-stay-35e67a6c,Puppy Daycare (under 1 Year),699,daycare,,Specialized care for young puppies,,,,Y,,,,,,,,,,
svc-seed-stay-f621ab50,Senior Dog Stay,1199,boarding,,Gentle care for senior pets,,,,Y,,,,,,,,,,
svc-seed-stay-5cc83de6,Medical Boarding,1799,boarding,,Boarding with medication administration,,,,Y,,,,,,,,,,
svc-seed-stay-96811e4b,Holiday Pet Sitting,1599,boarding,,In-home pet sitting during holidays,,,,Y,,,,,,,,,,
svc-seed-stay-c60487d8,Airport Pickup & Drop,799,services,,Pet transport to/from airport,,,,Y,,,,,,,,,,
svc-seed-travel-c9c0c605,International Flight Assistance,9999,services,,End-to-end international travel support,Y,,,,,,,,,,,,,
svc-seed-travel-48f44771,Pet-Friendly Hotel Booking,499,services,,We find the perfect pet-friendly stay,Y,,,,,,,,,,,,,
svc-seed-care-c87e3042,Full Grooming Session,999,grooming,,"Bath, haircut, nail trim, ear cleaning",,,,,,Y,,,,,,,,
svc-seed-care-ee82dfd6,Puppy First Groom,699,grooming,,Gentle introduction to grooming,,,,,,Y,,,,,,,,
svc-seed-care-3e3213a3,Flea & Tick Prevention Pack,799,health,,3-month protection pack,,,,,,Y,,,,,,,,
svc-seed-care-c9ee4699,Joint Support Supplements,899,health,,Glucosamine & chondroitin formula,,,,,,Y,,,,,,,,
svc-seed-care-acd7d9dc,Skin & Coat Supplements,699,health,,Omega-rich formula for shiny coat,,,,,,Y,,,,,,,,
svc-seed-care-3421b3a8,Vet Video Consultation,499,health,,Online vet consultation,,,,,,Y,,,,,,,,
svc-seed-enjoy-d9d90d45,Dog Park Playdate Booking,399,services,,Organized playdate at local park,,,,,,,Y,,,,,,,
svc-seed-enjoy-dd8937e5,Swimming Pool Session,799,services,,Supervised pool time for dogs,,,,,,,Y,,,,,,,
svc-seed-enjoy-53d38976,Agility Course Access,599,services,,Access to agility training course,,,,,,,Y,,,,,,,
svc-seed-fit-9fbbea2b,Personal Training Session,999,training,,One-on-one fitness training,,,,,,,,Y,,,,,,
svc-seed-fit-6e3038cf,Weight Loss Program (4 Weeks),3999,programs,,Structured weight management program,,,,,,,,Y,,,,,,
svc-seed-fit-ce084921,Puppy Fitness Starter,2499,programs,,Age-appropriate exercise program,,,,,,,,Y,,,,,,
svc-seed-fit-cee46735,Senior Mobility Program,2999,programs,,Gentle exercises for older dogs,,,,,,,,Y,,,,,,
svc-seed-fit-bfc542fb,Canine Treadmill Session,599,training,,Supervised treadmill workout,,,,,,,,Y,,,,,,
svc-seed-fit-92c2a48f,Swimming Fitness Class,799,training,,Low-impact aqua fitness,,,,,,,,Y,,,,,,
svc-seed-fit-0f7980a3,Agility Training Course,4999,programs,,8-week agility training program,,,,,,,,Y,,,,,,
svc-seed-fit-dc3c3a43,Monthly Fitness Subscription,2999,programs,,Unlimited fitness sessions,,,,,,,,Y,,,,,,
svc-seed-fit-a62e3b62,Dog Yoga (Doga) Session,599,training,,Relaxing yoga with your dog,,,,,,,,Y,,,,,,
svc-seed-learn-bb2c3631,Puppy Kindergarten (8 Weeks),5999,training,,Foundation training for puppies,,,,,,,,,Y,,,,,
svc-seed-learn-02b0a368,Advanced Training Program,7999,training,,Complex commands & tricks,,,,,,,,,Y,,,,,
svc-seed-learn-63540423,Behavior Modification,6999,training,,Address specific behavior issues,,,,,,,,,Y,,,,,
svc-seed-learn-3e36e599,Socialization Classes,2499,training,,Safe exposure to new experiences,,,,,,,,,Y,,,,,
svc-seed-learn-4b9c4d98,Trick Training Course,3499,training,,Fun tricks to impress everyone,,,,,,,,,Y,,,,,
svc-seed-paperwork-34b4f03d,Pet Registration Service,999,documentation,,Complete municipal registration,,,,,,,,,,Y,,,,
svc-seed-paperwork-4a148e22,Pet Insurance Consultation,499,consultation,,Find the right pet insurance,,,,,,,,,,Y,,,,
svc-seed-paperwork-6b8dd44e,Vaccination Record Book,299,documentation,,Official vaccination record,,,,,,,,,,Y,,,,
svc-seed-paperwork-c3fef725,Pet Will & Trust Service,4999,legal,,Legal protection for your pet's future,,,,,,,,,,Y,,,,
svc-seed-paperwork-f835e76f,Breeding License Assistance,3999,documentation,,Help with breeding permits,,,,,,,,,,Y,,,,
svc-seed-advisory-2a9fd38d,Pre-Adoption Counseling,799,consultation,,Choose the right pet for your family,,,,,,,,,,,Y,,,
svc-seed-advisory-c58433b2,New Pet Parent Guidance,999,consultation,,Everything you need to know,,,,,,,,,,,Y,,,
svc-seed-advisory-1089da9f,Multi-Pet Household Advisory,1499,consultation,,Introducing new pets safely,,,,,,,,,,,Y,,,
svc-seed-advisory-b4e6501b,Breed Selection Service,1999,consultation,,Find your perfect breed match,Y,,,,,,,,,,,,,
svc-seed-advisory-08449aa0,Pet-Proofing Home Audit,1499,services,,Make your home pet-safe,,,,,,,,,,,Y,,,
svc-seed-emergency-ff35f1cb,24/7 Emergency Vet Hotline,299,emergency,,Round-the-clock vet access,,,,,,,,,,,,Y,,
svc-seed-emergency-0fba5b04,First Aid Training Workshop,1999,training,,Learn pet first aid,,,,,Y,,,,,,,,,
svc-seed-emergency-c46d5e62,Poison Control Consultation,499,emergency,,Immediate toxicity guidance,,,,,,,,,,,,Y,,
svc-seed-emergency-8fa7b9f2,Lost Pet Search Service,1999,services,,Professional pet search team,,,,,,,,,,,,Y,,
svc-seed-farewell-d7cdaca0,Cremation Service - Standard,3999,cremation,,Dignified cremation service,Y,,,,,,,,,,,,,
svc-seed-farewell-a55e74fd,Cremation Service - Premium,6999,cremation,,Private cremation with ceremony,Y,,,,,,,,,,,,,
svc-seed-farewell-479e1cf7,Paw Print Keepsake,999,memorial,,Clay paw print impression,,,,,,,,,,,,,Y,
svc-seed-farewell-6629655d,Photo Memorial Frame,1499,memorial,,Custom photo memorial,,,,,,,,,,,,,Y,
svc-seed-farewell-94125864,Memorial Garden Stone,2499,memorial,,Engraved garden memorial,,,,,,,,,,,,,Y,
svc-seed-farewell-15584e8a,Pet Loss Counseling Session,999,services,,Grief support counseling,,,,,,,,,,,,,Y,
svc-seed-adopt-45858257,Adoption Counseling,0,services,,Free adoption guidance,,,,,,,,,,,,,,Y
svc-seed-adopt-54adefbc,Rescue Dog Rehabilitation,4999,services,,Behavior support for rescues,,,,,,,,,,,,,,Y
svc-seed-adopt-71274095,Foster-to-Adopt Program,0,programs,,Try before you commit,,,,,,,,,,,,,,Y
svc-seed-adopt-ffcdaa55,Senior Pet Adoption Support,999,services,,Support for adopting older pets,,,,,,,,,,,,,,Y
svc-seed-adopt-13400197,Second Chance Sponsorship,500,donation,,Sponsor a shelter pet,,,,,,,,,,,,,,Y
svc-seed-shop-e1b40287,Grooming Brush Set,799,grooming,,Complete brush collection,Y,,,,,,,,,,,,,
svc-svc-celebrate-7f5048e6,Birthday Pawty Planning - Home,4999,party-planning,,"Complete birthday celebration planning at your home. Includes dcor, cake coordination, photography, and party games for your furry friend and their pals.",,Y,,,,,,,,,,,,
svc-svc-celebrate-1d7dabb1,Birthday Pawty Planning - Caf/Venue,7999,party-planning,,"Premium birthday celebration at a pet-friendly caf or venue. Full Concierge service with venue booking, dcor, catering, and entertainment.",,Y,,,,,,,,,,,,
svc-svc-celebrate-7a925790,Birthday Pawty Planning - Resort Experience,14999,party-planning,,"Luxury resort birthday experience. Exclusive venue, gourmet menu, spa treatments, and overnight stay option for the birthday pup.",,Y,,,,,,,,,,,,
svc-svc-celebrate-096f3547,Milestone Celebration - Puppy to Adult,2999,milestone,,Mark your puppy's transition to adulthood with a special ceremony. Includes growth photo compilation and celebration.,,Y,,,,,,,,,,,,
svc-svc-celebrate-7f1565c4,Milestone Celebration - Senior Honours,3499,milestone,,Honour your pet's golden years with a dignified senior celebration. Gentle activities suited to their pace.,,Y,,,,,,,,,,,,
svc-svc-celebrate-b5b832db,Surprise Delivery & Moment,1999,surprise,,"Surprise your pet parent with an unexpected celebration delivery. Perfect for birthdays, anniversaries, or just because.",,Y,,,,,,,,,,,,
svc-svc-celebrate-26caef13,Party Coordination Service,2499,coordination,,"Full party coordination without venue booking. We handle dcor, cake, invites, and guest management.",,Y,,,,,,,,,,,,
svc-svc-celebrate-68e6d5f5,Breed Day Celebration,2499,breed-day,,Celebrate your pet's breed heritage on their official Breed Day. Connect with other breed enthusiasts and honour their lineage.,,Y,,,,,,,,,,,,
svc-svc-celebrate-da88476b,Adoption Anniversary Ritual,1999,anniversary,,Annual ritual to celebrate the bond between you and your adopted pet. Includes donation to rescue organisations.,,Y,,,,,,,,,,,,
svc-svc-dine-2f4ace47,Nutrition Assessment & Meal Plan,1999,consultation,,"Comprehensive nutrition assessment by a certified pet nutritionist. Personalised meal plan based on breed, age, and health conditions.",,,Y,,,,,,,,,,,
svc-svc-dine-44e36ece,Diet Transition Support,1499,support,,Guided transition to new food with monitoring and adjustments. Ideal for switching to fresh food or managing sensitivities.,,,Y,,,,,,,,,,,
svc-svc-dine-ec77bdf1,Allergy Testing & Diet Planning,3999,health,,Comprehensive food allergy testing with elimination diet planning. Identify triggers and create a safe meal plan.,,,Y,,,,,,,,,,,
svc-svc-dine-d5633fd0,Home Cooking Workshop,2499,workshop,,Learn to prepare nutritious homemade meals for your pet. Hands-on workshop with recipes and tips.,,,Y,,,,,,,,,,,
svc-svc-dine-0d03dd02,Meal Prep Service - Weekly,1999,meal-prep,,Weekly meal preparation and portioning service. Fresh meals prepared and delivered to your doorstep.,,,Y,,,,,,,,,,,
svc-svc-stay-6268afff,Boarding Concierge - Standard,1499,boarding,,Full-service boarding coordination with our Concierge team. We find the perfect stay based on your pet's personality.,,,,Y,,,,,,,,,,
svc-svc-stay-9a248569,Boarding Concierge - Premium,2499,boarding,,"Premium boarding with luxury amenities. Private suite, spa treatment, and personalised attention.",,,,Y,,,,,,,,,,
svc-svc-stay-11abdb7a,Daycare Planning & Coordination,799,daycare,,"Regular daycare scheduling and coordination. We manage bookings, transportation, and daily reports.",,,,Y,,,,,,,,,,
svc-svc-stay-0c95a0ef,Home Pet Sitter Matching,999,pet-sitting,,"We match you with a vetted, compatible home pet sitter. Your pet stays in a loving home environment.",Y,,,,,,,,,,,,,
svc-svc-stay-10f6ffd7,Trial Stay Experience,499,trial,,Short trial stay to help your pet adjust to boarding. Perfect for anxious pets or first-timers.,,,,Y,,,,,,,,,,
svc-svc-travel-d9c2f29d,Pet Travel Planning - Domestic,2999,planning,,"Complete domestic travel planning for you and your pet. Flight/train bookings, pet-friendly stays, and itinerary.",,,,,Y,,,,,,,,,
svc-svc-travel-fbdc8657,Pet Travel Planning - International,9999,planning,,"Comprehensive international travel planning including documentation, quarantine requirements, and airline coordination.",,,,,Y,,,,,,,,,
svc-svc-travel-12312229,Pet Relocation Service - Domestic,14999,relocation,,End-to-end pet relocation within India. Door-to-door service with climate-controlled transport.,Y,,,,,,,,,,,,,
svc-svc-travel-3d30fbb1,Pet Relocation Service - International,49999,relocation,,"Complete international pet relocation with all documentation, customs clearance, and destination delivery.",Y,,,,,,,,,,,,,
svc-svc-travel-fe9aae55,Travel Documentation Service,3999,documentation,,"We handle all pet travel documentation - health certificates, import permits, and airline forms.",,,,,Y,,,,,,,,,
svc-svc-travel-7f7b4df1,Airport Assistance Service,1999,assistance,,"Personal assistance at the airport for pet check-in, security, and boarding. Reduces travel stress.",Y,,,,,,,,,,,,,
svc-svc-travel-9fa70123,Pet-Friendly Destination Research,999,research,,"Detailed research on pet-friendly destinations, activities, and accommodations for your trip.",Y,,,,,,,,,,,,,
svc-svc-care-391f33bc,Grooming Concierge - Full Service,1499,grooming,,"Premium grooming with Concierge coordination. We book, transport, and ensure your pet's comfort throughout.",,,,,,Y,,,,,,,,
svc-svc-care-4b3a0f05,Home Grooming Service,1999,grooming,,Professional grooming in the comfort of your home. Less stress for anxious pets.,,,,,,Y,,,,,,,,
svc-svc-care-ab1ef415,Vet Appointment Coordination,499,health,,"We schedule and coordinate all vet appointments. Reminders, transport, and report collection included.",,,,,,Y,,,,,,,,
svc-svc-care-dc450729,Wellness Programme - Annual,9999,wellness,,"Comprehensive annual wellness programme with scheduled check-ups, vaccinations, and preventive care.",,,,,,Y,,,,,,,,
svc-svc-care-350a66bc,Senior Pet Care Programme,12999,senior-care,,"Specialised care programme for senior pets. Enhanced monitoring, mobility support, and comfort care.",,,,,,Y,,,,,,,,
svc-svc-care-0d344ead,Post-Surgery Care Coordination,2999,recovery,,"Complete post-surgery care coordination including medication management, wound care, and recovery monitoring.",,,,,,Y,,,,,,,,
svc-svc-enjoy-57ba0150,Playdate Coordination Service,799,social,,We find compatible playmates and coordinate regular playdates for your social pup.,Y,,,,,,,,,,,,,
svc-svc-enjoy-a8ba8999,Social Calendar Management,1999,social,,"Monthly social calendar with curated events, meetups, and activities for your pet.",,,,,,,Y,,,,,,,
svc-svc-enjoy-a2f999b2,Adventure Day Out,2999,experience,,"Curated adventure day with hiking, beach visit, or nature exploration. Supervised fun for active dogs.",,,,,,,Y,,,,,,,
svc-svc-enjoy-aabd3519,Swimming Session - Pool,999,activity,,"Supervised swimming session at a pet pool. Great exercise and fun, especially in summer.",,,,,,,Y,,,,,,,
svc-svc-enjoy-87f1504a,Pet Caf Experience,1499,experience,,"Special outing to a pet caf with treats, playtime, and socialisation. Perfect for a pawrent-pet date.",,,,,,,Y,,,,,,,
svc-svc-learn-83554778,Behaviour Assessment & Plan,2499,assessment,,In-depth behaviour assessment with customised modification plan for specific issues.,,,,,,,,,Y,,,,,
svc-svc-learn-dd8da108,Private Training - Home Visit,1999,training,,One-on-one training session at your home. Address specific behaviours in familiar environment.,,,,,,,,,Y,,,,,
svc-svc-learn-d6d763c9,Puppy Socialisation Programme,4999,socialisation,,Structured socialisation programme for puppies during critical development period.,,,,,,,,,Y,,,,,
svc-svc-learn-185e5ed3,Reactivity Rehabilitation,8999,behaviour,,Intensive programme for reactive dogs. Build confidence and change responses to triggers.,,,,,,,,,Y,,,,,
svc-svc-learn-041b71ca,Separation Anxiety Programme,5999,behaviour,,Structured programme to address separation anxiety with gradual desensitisation.,,,,,,,,,Y,,,,,
svc-svc-learn-ea112dba,Canine Good Citizen Preparation,6999,certification,,Preparation course for Canine Good Citizen certification. Build skills for public access.,,,,,,,,,Y,,,,,
svc-svc-paperwork-e0b6d991,Breed Registration - KCI,4999,breed-registry,,Complete Kennel Club of India registration with pedigree documentation.,,,,,,,,,,Y,,,,
svc-svc-paperwork-28f1caa3,Pet Insurance Advisory,999,insurance,,"Compare and select the best pet insurance based on your pet's breed, age, and health history.",,,,,,,,,,Y,,,,
svc-svc-paperwork-58af97fc,Document Organisation Service,1499,organisation,,"We organise and digitise all your pet's documents in a secure, accessible format.",Y,,,,,,,,,,,,,
svc-svc-paperwork-2eeb4d14,Import/Export Permit Service,7999,permits,,Handle all permits and documentation for international pet movement.,,,,,,,,,,Y,,,,
svc-svc-advisory-313f87f4,New Pet Parent Consultation,1499,consultation,,Comprehensive consultation for new pet parents. Everything you need to know about caring for your new family member.,,,,,,,,,,,Y,,,
svc-svc-advisory-e266850f,Breed Selection Advisory,1999,advisory,,"Expert guidance to choose the perfect breed based on your lifestyle, home, and preferences.",,,,,,,,,,,Y,,,
svc-svc-advisory-48c9949f,Second Opinion Service,999,health,,Connect with specialist vets for second opinions on diagnoses or treatment plans.,,,,,,,,,,,Y,,,
svc-svc-advisory-bf6e8f0a,End-of-Life Consultation,1499,consultation,,Compassionate guidance during your pet's final chapter. Quality of life assessment and care planning.,,,,,,,,,,,Y,,,
svc-svc-emergency-442c9ca6,Lost Pet Search & Recovery,4999,search,,"Professional search team activated within hours. Flyers, social media, and ground search.",,,,,,,,,,,,Y,,
svc-svc-emergency-7f7d140a,Pet First Aid Training,2499,training,,Learn essential pet first aid skills. Certification included.,,,,,Y,,,,,,,,,
svc-svc-farewell-eb4da3dc,Rainbow Bridge Ceremony - Complete,9999,ceremony,,"Dignified farewell ceremony with cremation, memorial service, and keepsakes.",Y,,,,,,,,,,,,,
svc-svc-farewell-6c595c14,At-Home Euthanasia Coordination,4999,end-of-life,,Arrange peaceful at-home euthanasia with a compassionate vet. Dignified goodbye in familiar surroundings.,,,,,,,,,,,,,Y,
svc-svc-farewell-072144bb,Memorial Planning Service,2999,memorial,,"Complete memorial planning including keepsakes, tribute video, and remembrance options.",,,,,,,,,,,,,Y,
svc-svc-farewell-81704345,Grief Support Sessions,1499,support,,Professional grief counselling for pet loss. Individual or family sessions available.,,,,,,,,,,,,,Y,
svc-svc-adopt-1d41ca6f,Foster-to-Adopt Programme,999,programme,,Trial foster period before committing to adoption. Support throughout the transition.,,,,,,,,,,,,,,Y
svc-PROD-B04D6E0B0E54,Agility Training Set,0,training-equipment,,,,,,,,,,,Y,,,,,
svc-PROD-62FC20BB6710,Interactive Puzzle Feeder,0,mental-fitness,,,,,,,,,,Y,,,,,,
svc-PROD-A942D09526CB,Balance Board for Dogs,0,core-training,,,,,,,,,,,Y,,,,,
svc-PROD-7C422F22E055,Tug Rope - Heavy Duty,0,strength,,,Y,,,,,,,,,,,,,
svc-PROD-5C48703D7A1C,Cooling Vest,0,weather-gear,,,Y,,,,,,,,,,,,,
svc-PROD-6F6D84BDC0E9,Portable Water Bottle,0,hydration,,,Y,,,,,,,,,,,,,
svc-PROD-A0564BEEC5EC,Pet Health Monitor,0,advisory,,,,,,,,,,,,,Y,,,
svc-PROD-A1863A58DC1B,Pheromone Calming Diffuser,0,advisory,,,,,,,,,,,,,Y,,,
svc-PROD-79B99C9EAE9F,Pet Weight Management Scale,0,advisory,,,,,,,,,,,,,Y,,,
svc-PROD-2DDF6CE64594,Senior Pet Mobility Ramp,0,advisory,,,,,,,,,,,,,Y,,,
svc-PROD-F9A3CC092F39,GPS Pet Tracker - Real Time,0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-A965615904A2,GPS Pet Tracker - Mini (Cats & Small Dogs),0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-043BC49784BC,Smart QR ID Tag - Emergency,0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-152B28DF6024,High-Visibility Reflective Vest,0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-71B4BBAC613C,Soft Emergency Muzzle Set (3 Sizes),0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-47DBD1D3E4B5,Emergency Calming Spray,0,emergency,,,,,,,,,,,,,,Y,,
svc-PROD-3E1D5C1620CF,Smart QR ID Tag,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-D8983D38FF03,Digital Pet ID Card,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-5B40E90BEC36,Digital Health Record Wallet,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-D107BDD9357E,TDC Health File Folder,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-9C95D4BDF688,Vaccination Booklet Holder,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-AC067D096252,Waterproof Document Sleeve,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-72C0658B94A3,Travel Document Pouch,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-B2C5887FA570,Emergency Document Wallet,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-6228C21DF7F2,Emergency Contact Cards (Pack of 5),0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-DD9E2442FCB4,Pet Insurance Document Organizer,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-482BF9EC24AE,Annual Compliance Checklist,0,paperwork,,,,,,,,,,,,Y,,,,
svc-PROD-1B2DC302D424,Smart Activity Tracker,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-A938A011CBB1,Pet Weight Scale,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-550F0F7BAFC7,Automatic Ball Launcher,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-F74AADD1F080,Pet Treadmill,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-8A93C77102D9,Swimming Safety Vest,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-1ADD9E952CB3,Joint Support Supplement,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-D47FAB5ABD8B,Cooling Exercise Vest,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-BB71B4AAA52A,Canine Balance Board,0,fit,,,,,,,,,,Y,,,,,,
svc-PROD-F19DE643DFD0,Social Butterfly Bandana,0,enjoy,,,,,,,,,Y,,,,,,,
svc-PROD-3ED36187B10C,Cooling Vest for Outdoor Fun,0,enjoy,,,,,,,,,Y,,,,,,,
svc-PROD-A1F794467B3C,Safety Swim Vest,0,enjoy,,,,,,,,,Y,,,,,,,
svc-PROD-CAECA555999E,Event Day Backpack,0,enjoy,,,,,,,,,Y,,,,,,,
svc-PROD-B3CCF01E24A5,Portable Outdoor Bed,0,enjoy,,,,,,,,,Y,,,,,,,
svc-PROD-1E8FFC699847,Social Profile Tag,0,enjoy,,,,,,,,,Y,,,,,,,
svc-stay-696d061f899ee8015c535faa,The Leela Goa,12000,stay,,Luxury beachfront resort set amidst 75 acres of lush gardens. One of India's most pet-welcoming luxury properties with dedicated pet amenities.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fab,W Goa,12000,stay,,Trendy beachside escape with vibrant design and pet-friendly policies. Perfect for young pet parents seeking style and comfort.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fac,Ahilya By the Sea,5000,stay,,Intimate heritage property with just 8 rooms. Dogs are treated as family here with personalized care.,Y,,,,,,,,,,,,,
svc-stay-696d061f899ee8015c535fad,SUJN Jawai,12000,stay,,Luxury tented camp in leopard country. One of India's most exclusive pet-friendly wilderness experiences.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fae,Taj Lake Palace,25000,stay,,Iconic floating palace on Lake Pichola. Pets are welcomed as royal guests with special arrangements.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535faf,The Oberoi Rajvilas,12000,stay,,32-acre luxury resort with Rajasthani architecture. Pets are pampered with dedicated walking areas.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb0,CGH Earth - Coconut Lagoon,12000,stay,,Eco-friendly backwater resort accessible only by boat. Pets enjoy the natural surroundings.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb1,Marari Beach Resort,12000,stay,,Beachside eco-resort with traditional Kerala cottages. Perfect for beach-loving dogs.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb2,The Oberoi Cecil,5000,stay,,Colonial heritage hotel with stunning mountain views. Pets enjoy the crisp mountain air.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb3,Wildflower Hall,12000,stay,,"Former residence of Lord Kitchener at 8,250 ft. Surrounded by cedar forests perfect for pet walks.",,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb6,Della Resorts,12000,stay,,Adventure resort with India's largest collection of adventure activities. Pet-friendly rooms available.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb7,Radisson Blu Resort & Spa Alibaug,12000,stay,,Beachside resort perfect for weekend getaways from Mumbai. Pet-friendly rooms with garden access.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb8,Evolve Back Coorg,12000,stay,,Luxury plantation resort in coffee country. Expansive grounds perfect for pets to explore.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fb9,The Serai Kabini,12000,stay,,Wildlife resort on the banks of Kabini River. Perfect for nature-loving pet families.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fba,The Tamara Kodai,12000,stay,,Boutique resort in the Palani Hills. Misty mountains and forest walks for pets.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fbb,Taj Fisherman's Cove,12000,stay,,Beachfront resort near Chennai. Pet-friendly cottages with direct beach access.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fbc,"The Oberoi, Gurugram",5000,stay,,Urban luxury hotel with pet-friendly rooms. Ideal for business travelers with pets.,Y,,,,,,,,,,,,,
svc-stay-696d061f899ee8015c535fbd,ITC Grand Bharat,12000,stay,,All-suite resort spread across 100 acres. Pets enjoy the expansive grounds and golf course.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fbe,Taj Exotica Resort & Spa,12000,stay,,Island paradise with pet-friendly villas. Near Asia's best beach.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fbf,Palais De Mahe,5000,stay,,Boutique heritage hotel in French Quarter. Pet-friendly rooms with courtyard access.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc0,Treehouse Jaipur,5000,stay,,Unique treehouse-style property with pet-friendly rooms. Great city views.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc1,SaffronStays Casa Del Sol,5000,stay,,Private villa perfect for pet families. Fully fenced garden and pool.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc2,Atmantan Wellness Centre,12000,stay,,Luxury wellness resort with pet-friendly options. Holistic retreat for you and your pet.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc3,Himalaica,5000,stay,,Cozy mountain homestay with incredible views. Dogs love the apple orchards.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc4,Camp Wildex,12000,stay,,Adventure camp by the Ganges. Perfect for active pet families.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc5,The Windflower Prakruthi,12000,stay,,Nature resort near Bangalore airport. Great for pet staycations.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc6,Mahua Kothi,12000,stay,,Luxury jungle lodge near tiger reserve. Pet-friendly with precautions.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc7,Vivanta Dal View,5000,stay,,Lakeside luxury with Dal Lake views. Pet-friendly rooms with garden access.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc8,The Machan,12000,stay,,Treehouse eco-resort in the forest. Unique experience for nature-loving pets.,,,,Y,,,,,,,,,,
svc-stay-696d061f899ee8015c535fc9,Aahana Resort,12000,stay,,Nature resort at the foothills of the Himalayas. Pet-friendly with large grounds.,,,,Y,,,,,,,,,,
svc-boarding-69787d6a3fbee8a72eb13f67,Pawsome Pet Resort,1500,boarding,,Luxury pet resort with spacious rooms and 24/7 vet access,,,,Y,,,,,,,,,,
svc-boarding-69787d6a3fbee8a72eb13f68,Happy Tails Boarding,800,boarding,,Cozy home environment with personal attention,,,,Y,,,,,,,,,,
svc-boarding-69787d6a3fbee8a72eb13f69,Pet Paradise Delhi,1200,boarding,,Luxury pet boarding with individual suites and personalized care,,,,Y,,,,,,,,,,
svc-PROD-0FFA097BFEAE,Pet-Friendly Hotel Stay,0,hotel,,,,,,Y,,,,,,,,,,
svc-PROD-C856199055D2,Resort Getaway with Pets,0,resort,,,Y,,,,,,,,,,,,,
svc-PROD-EDA35289A625,Private Villa Rental,0,villa,,,Y,,,,,,,,,,,,,
svc-PROD-FA4435430533,Countryside Farmstay,0,farmstay,,,,,,Y,,,,,,,,,,
svc-PROD-2D04300F4A79,Premium Pet Boarding,0,boarding,,,,,,Y,,,,,,,,,,
svc-PROD-EA4C3657AEE4,Standard Pet Boarding,0,boarding,,,,,,Y,,,,,,,,,,
svc-PROD-86D3B6F5F70D,Home-style Pet Boarding,0,homestay,,,,,,Y,,,,,,,,,,
